[config:219]  ERROR:[{{assets/ audio/ images/ font/} { ERROR} {0 0 480 640 1 0 0} {none 12 72  white} 60 60 English Oak Window false false false false}] 
[rng:39]  ERROR:Oak seed: 1593025388163937416 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
[main:229]  ERROR:[recovered from runtime error: invalid memory address or nil pointer dereference] 
